[2023-01-25 15:48:41] - [DEBUG] starting point: 0 | end point: 8706 | fps: 30 | frame: 8706 | cnt: 0
[2023-01-25 15:48:47] - [DEBUG] cnt: 1320 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:47] - [DEBUG] cnt: 1350 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:47] - [DEBUG] cnt: 1380 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:47] - [DEBUG] cnt: 1410 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:47] - [DEBUG] cnt: 1440 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1470 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1500 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1530 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1560 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1590 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1620 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:48] - [DEBUG] cnt: 1650 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1680 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1710 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1740 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1770 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1800 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1830 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:49] - [DEBUG] cnt: 1860 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 1890 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 1920 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 1950 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 1980 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 2010 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 2040 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:50] - [DEBUG] cnt: 2070 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2100 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2130 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2160 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2190 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2220 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2250 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:51] - [DEBUG] cnt: 2280 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:52] - [DEBUG] cnt: 2310 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:52] - [DEBUG] cnt: 2340 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
