[2023-01-25 15:48:41] - [DEBUG] starting point: 0 | end point: 8706 | fps: 30 | frame: 8706 | cnt: 0
[2023-01-25 15:49:08] - [DEBUG] cnt: 5760 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5790 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5820 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5850 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5880 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5910 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5940 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:08] - [DEBUG] cnt: 5970 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6000 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6030 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6060 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6090 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6120 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6150 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:09] - [DEBUG] cnt: 6180 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6210 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6240 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6270 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6300 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6330 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6360 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6390 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:10] - [DEBUG] cnt: 6420 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6450 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6480 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6510 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6540 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6570 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6600 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:11] - [DEBUG] cnt: 6630 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6660 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6690 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6720 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6750 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6780 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6810 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:12] - [DEBUG] cnt: 6840 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 6870 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 6900 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 6930 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 6960 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 6990 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 7020 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:13] - [DEBUG] cnt: 7050 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7080 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7110 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7140 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7170 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7200 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7230 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:14] - [DEBUG] cnt: 7260 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7290 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7320 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7350 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7380 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7410 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7440 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:15] - [DEBUG] cnt: 7470 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7500 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7530 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7560 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7590 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7620 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:16] - [DEBUG] cnt: 7650 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7680 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7710 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7740 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7770 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7800 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7830 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:17] - [DEBUG] cnt: 7860 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 7890 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 7920 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 7950 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 7980 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 8010 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 8040 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:18] - [DEBUG] cnt: 8070 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8100 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8130 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8160 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8190 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8220 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8250 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:19] - [DEBUG] cnt: 8280 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8310 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8340 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8370 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8400 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8430 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:20] - [DEBUG] cnt: 8460 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8490 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8520 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8550 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8580 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8610 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8640 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:21] - [DEBUG] cnt: 8670 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 8700 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] finished reading video 8702
[2023-01-25 15:49:22] - [DEBUG] max frame: [(420, 1.0)]
[2023-01-25 15:49:22] - [DEBUG] Temporal time: 40.74156928062439
[2023-01-25 15:49:22] - [DEBUG] starting point: 320 | end point: 520 | fps: 10 | frame: 8706 | cnt: 320
[2023-01-25 15:49:22] - [DEBUG] cnt: 320 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 330 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 340 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 350 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 360 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 370 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 380 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 390 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 400 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 410 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 420 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 430 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 440 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 450 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 460 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 470 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 480 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:22] - [DEBUG] cnt: 490 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 500 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 510 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 520 | sp: 320 | ep: 520 | fps: 10 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] finished reading video 521
[2023-01-25 15:49:23] - [DEBUG] max frame: [(420, 1.0)]
[2023-01-25 15:49:23] - [DEBUG] Temporal time: 1.0790002346038818
[2023-01-25 15:49:23] - [DEBUG] starting point: 395 | end point: 445 | fps: 5 | frame: 8706 | cnt: 395
[2023-01-25 15:49:23] - [DEBUG] cnt: 395 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 400 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 405 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 410 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 415 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 420 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 425 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 430 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 435 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 440 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 445 | sp: 395 | ep: 445 | fps: 5 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] finished reading video 446
[2023-01-25 15:49:23] - [DEBUG] max frame: [(420, 1.0)]
[2023-01-25 15:49:23] - [DEBUG] Temporal time: 0.35900235176086426
[2023-01-25 15:49:23] - [DEBUG] starting point: 419 | end point: 421 | fps: 1 | frame: 8706 | cnt: 419
[2023-01-25 15:49:23] - [DEBUG] cnt: 419 | sp: 419 | ep: 421 | fps: 1 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 420 | sp: 419 | ep: 421 | fps: 1 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] cnt: 421 | sp: 419 | ep: 421 | fps: 1 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:49:23] - [DEBUG] finished reading video 422
[2023-01-25 15:49:23] - [DEBUG] max frame: [(420, 1.0)]
[2023-01-25 15:49:23] - [DEBUG] Temporal time: 0.18999528884887695
[2023-01-25 15:49:23] - [DEBUG] Total time: 42.3725688457489
